tier,code,status,activated_by,activated_at,notes
alpha,SWAP-ALPHA-001,available,,,Reserved for community leader
alpha,SWAP-ALPHA-002,available,,,Reserved for Discord mod
alpha,SWAP-ALPHA-003,available,,,Reserved for early supporter
alpha,SWAP-ALPHA-004,available,,,Reserved for content creator
alpha,SWAP-ALPHA-005,available,,,Reserved for developer
alpha,SWAP-ALPHA-006,available,,,Reserved for advisor
alpha,SWAP-ALPHA-007,available,,,Reserved for partner
alpha,SWAP-ALPHA-008,available,,,Reserved for investor
alpha,SWAP-ALPHA-009,available,,,Public giveaway
alpha,SWAP-ALPHA-010,available,,,Public giveaway
beta,SWAP-BETA-011,available,,,Discord active member
beta,SWAP-BETA-012,available,,,Discord active member
beta,SWAP-BETA-013,available,,,Discord active member
beta,SWAP-BETA-014,available,,,Twitter follower
beta,SWAP-BETA-015,available,,,Twitter follower
beta,SWAP-BETA-016,available,,,Twitter follower
beta,SWAP-BETA-017,available,,,Waitlist priority
beta,SWAP-BETA-018,available,,,Waitlist priority
beta,SWAP-BETA-019,available,,,Public giveaway
beta,SWAP-BETA-020,available,,,Public giveaway
gamma,SWAP-GAMMA-021,available,,,Waitlist
gamma,SWAP-GAMMA-022,available,,,Waitlist
gamma,SWAP-GAMMA-023,available,,,Waitlist
gamma,SWAP-GAMMA-024,available,,,Waitlist
gamma,SWAP-GAMMA-025,available,,,Twitter giveaway
gamma,SWAP-GAMMA-026,available,,,Twitter giveaway
gamma,SWAP-GAMMA-027,available,,,Discord giveaway
gamma,SWAP-GAMMA-028,available,,,Discord giveaway
gamma,SWAP-GAMMA-029,available,,,Public
gamma,SWAP-GAMMA-030,available,,,Public
delta,SWAP-DELTA-031,available,,,Public
delta,SWAP-DELTA-032,available,,,Public
delta,SWAP-DELTA-033,available,,,Public
delta,SWAP-DELTA-034,available,,,Public
delta,SWAP-DELTA-035,available,,,Public
delta,SWAP-DELTA-036,available,,,Public
delta,SWAP-DELTA-037,available,,,Public
delta,SWAP-DELTA-038,available,,,Public
delta,SWAP-DELTA-039,available,,,Public
delta,SWAP-DELTA-040,available,,,Public
omega,SWAP-OMEGA-041,available,,,Public
omega,SWAP-OMEGA-042,available,,,Public
omega,SWAP-OMEGA-043,available,,,Public
omega,SWAP-OMEGA-044,available,,,Public
omega,SWAP-OMEGA-045,available,,,Public
omega,SWAP-OMEGA-046,available,,,Public
omega,SWAP-OMEGA-047,available,,,Public
omega,SWAP-OMEGA-048,available,,,Public
omega,SWAP-OMEGA-049,available,,,Public
omega,SWAP-OMEGA-050,available,,,Public
